index,Comments,Hours_Played,Recommended
0,7 really hard sometimes frustration doesn explain wellcontrols mouse keyboard horrible reminding stuff still fun though,21.5,1
1,7 think good rag test skill extreme,0.5,1
2,7,3.3,1
3,30 2018 always dark soul hardest game ever made game bit difficulty can difficulty dark soul 3 there wrong game surprisingly easy give moderate challenge dont trust anyone game exactly hard fun hell highly suggest doubt hard unplayable completely ignore buy game you blast,155.7,1
4,7 god am,63.3,1
5,9 game hard really enjoy,50.9,1
6,8 better onenot good first8510,212.2,1
7,8 pre good game suppose mean bought 3 different time different platform,108.6,1
8,8 second game really close first talking gameplay recommend recommended first one must play,35.0,1
9,8 diedâââ âââââââââ ââââââââ ââââââââââââ ââââââââââââ âââââââââ ââââââââââââââââââââ ââââââââ ââââââââ ââââââââ âââââââââ âââââââââ âââââââââââ ââââââââ ââââââââ âââââââââ ââââââââ ââââââââââââ also good game 1010 duc make lot better try find sale,107.3,1
